place_id,il_original,ilce_original,bucak_commune_original,belediye_koy_original,male,female,both,newpoint_x,newpoint_y,Comments
1,Edirne,MerkezNahiyesi,Merkez,Azatlı,385,406,791,26.70205,41.49897,
2,Edirne,MerkezNahiyesi,Merkez,Bosna,610,578,1188,26.563805,41.626435,
3,Edirne,MerkezNahiyesi,Merkez,Büyük döllük,316,362,678,26.599021,41.759068,
4,Edirne,MerkezNahiyesi,Merkez,Dayakadın,247,250,497,26.66075,41.57725,
5,Edirne,MerkezNahiyesi,Merkez,Dayran,380,372,752,26.60503,41.48509,
6,Edirne,MerkezNahiyesi,Merkez,Demirbanlı,243,262,505,26.738045,41.698095,
7,Edirne,MerkezNahiyesi,Merkez,Değirmenyeni,237,259,496,26.553243,41.763972,
8,Edirne,MerkezNahiyesi,Merkez,Hasanağa,2516,98,2614,26.622804,41.725082,
9,Edirne,MerkezNahiyesi,Merkez,Hatip,94,89,183,26.563961,41.819536,
10,Edirne,MerkezNahiyesi,Merkez,Hadıra ğa,233,254,487,26.65995,41.73686,
11,Edirne,MerkezNahiyesi,Merkez,İğnesi           .,223,249,472,26.55716574,41.78206273,
12,Edirne,MerkezNahiyesi,Merkez,İskender,328,320,648,26.671736,41.629237,
13,Edirne,MerkezNahiyesi,Merkez,Kar akası m,704,386,1090,26.643149,41.520491,
14,Edirne,MerkezNahiyesi,Merkez,karayusuf,1909,125,2034,26.69536,41.732353,
15,Edirne,MerkezNahiyesi,Merkez,Kayapa,812,144,956,26.688345,41.775147,
16,Edirne,MerkezNahiyesi,Merkez,Korucu,165,182,347,26.655302,41.79164,
17,Edirne,MerkezNahiyesi,Merkez,Küçükdöllök,118,126,244,26.667365,41.756147,
18,Edirne,MerkezNahiyesi,Merkez,Menekşesofular,128,160,288,26.640277,41.7632,
19,Edirne,MerkezNahiyesi,Merkez,Muratçalı,475,185,660,26.615436,41.805988,
20,Edirne,MerkezNahiyesi,Merkez,Musabeyli,1298,254,1552,26.663179,41.699771,
21,Edirne,MerkezNahiyesi,Merkez,Oğulpaşa,1825,741,2566,26.75197346,41.60315082,
22,Edirne,MerkezNahiyesi,Merkez,sazlidere,180,187,367,26.678895,41.613343,
23,Edirne,MerkezNahiyesi,Merkez,Şerbettar (Şaraplar),518,602,1120,26.7608258,41.46354686,
24,Edirne,MerkezNahiyesi,Merkez,Üyüklütatar,446,341,787,26.610582,41.544544,
25,Edirne,MerkezNahiyesi,HavsaNahiyesi,Havsa,2527,1198,3725,26.822133,41.549485,
26,Edirne,MerkezNahiyesi,HavsaNahiyesi,Abalar,497,492,989,26.74219,41.54642,
27,Edirne,MerkezNahiyesi,HavsaNahiyesi,Arpaç,219,235,454,26.88206586,41.69133546,
28,Edirne,MerkezNahiyesi,HavsaNahiyesi,bahislar,180,187,367,26.82889,41.45845,
29,Edirne,MerkezNahiyesi,HavsaNahiyesi,Bostanlı,232,277,509,26.97069,41.61035,
30,Edirne,MerkezNahiyesi,HavsaNahiyesi,Çukur,212,238,450,26.81782,41.46832,
31,Edirne,MerkezNahiyesi,HavsaNahiyesi,Elçili,774,344,1118,0,0,
32,Edirne,MerkezNahiyesi,HavsaNahiyesi,Habiller,242,256,498,26.79566,41.6697,
33,Edirne,MerkezNahiyesi,HavsaNahiyesi,Hasköy,2609,638,3247,26.85746,41.63822,
34,Edirne,MerkezNahiyesi,HavsaNahiyesi,Kabaağaç,172,183,355,26.86748,41.47984,
35,Edirne,MerkezNahiyesi,HavsaNahiyesi,Köseömer,372,430,802,26.90279,41.58651,
36,Edirne,MerkezNahiyesi,HavsaNahiyesi,Kulubalık,156,177,333,26.8268,41.47188,
37,Edirne,MerkezNahiyesi,HavsaNahiyesi,Kuzucu,230,196,426,26.81281,41.5054,
38,Edirne,MerkezNahiyesi,HavsaNahiyesi,Musulça,238,274,512,26.86214,41.67361,
39,Edirne,MerkezNahiyesi,HavsaNahiyesi,naipyusuf,276,284,560,26.9047,41.48368,
40,Edirne,MerkezNahiyesi,HavsaNahiyesi,Necatiye,301,332,633,26.9,41.5,
41,Edirne,MerkezNahiyesi,HavsaNahiyesi,OsmanlI,1519,564,2083,26.83553,41.58724,
42,Edirne,MerkezNahiyesi,HavsaNahiyesi,Söğütlüdere,1715,295,2010,0,0,
43,Edirne,MerkezNahiyesi,HavsaNahiyesi,Taptık,281,291,572,26.91146,41.54138,
44,Edirne,MerkezNahiyesi,HavsaNahiyesi,yolageldi,477,520,997,26.95,41.51667,
45,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Lalapaşa,483,292,775,26.73561,41.83951,
46,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Büyünlü,527,217,744,26.73268,41.88984,buyukuyunlu
47,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,callidere,66,70,136,26.7251,41.94114,
48,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Çatma,120,114,234,26.63883,41.88362,
49,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Çömlek,125,133,258,26.61055,41.84294,
50,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Çömlek akpinar,325,444,769,26.64515,41.83745,
51,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Demir,482,387,869,26.67038,41.91508,
52,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Don,127,130,257,26.70006829,41.91560172,
53,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Donbay,162,205,367,26.6314,41.90199,
54,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Hacıdanışment,1230,369,1599,26.82377,41.90982,
55,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Hacılar,44,50,94,26.78253,41.94258,
56,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Hamzabeyli,239,266,505,26.644,41.96487,
57,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Hanlıyenlce,514,194,708,26.69301,41.87024,
58,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Hüaeyinpinar,47,71,118,26.59508,41.89943,
59,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Kalkansöğüt,141,138,279,26.81158,41.97107,
60,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Kavaklı,73,72,145,26.75256,41.79413,
61,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Küçünlü,318,191,509,26.76859,41.93461,Küçüküyünlü
62,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Ortakçı,1955,444,2399,26.73667,41.78528,
63,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,ömeroba,97,110,207,26.93059,41.9236,
64,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Pıravadı,1065,301,1366,26.61014,41.73159,
65,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Saksağan,75,86,161,26.60571,41.87724,
66,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Sarıdanışment,171,204,375,26.82846,41.86472,
67,Edirne,MerkezNahiyesi,LalapaşaNahiyesi,Suakacağı,86,96,182,26.58636,41.84082,
